Date,Volume
2023-03-17,133197100
2023-03-20,129684400
2023-03-21,153391400
2023-03-22,150376400
2023-03-23,144193900
2023-03-24,116312400
2023-03-27,120851600
2023-03-28,98654600
2023-03-29,123660000
2023-03-30,110252200
2023-03-31,170222100
2023-04-03,169545900
2023-04-04,126463800
2023-04-05,133882500
2023-04-06,123857900
2023-04-10,142154600
2023-04-11,115770900
2023-04-12,150256300
2023-04-13,112933000
2023-04-14,96438700
2023-04-17,116662200
2023-04-18,92067000
2023-04-19,125732700
2023-04-20,210970800
2023-04-21,123539000
2023-04-24,140006600
2023-04-25,121999300
2023-04-26,153364100
2023-04-27,127015200
2023-04-28,122515800
2023-05-01,109015000
2023-05-02,128259700
2023-05-03,119728000
2023-05-04,95108500
2023-05-05,107607300
2023-05-08,112249400
2023-05-09,88965000
2023-05-10,119840700
2023-05-11,103889900
2023-05-12,157849600
2023-05-15,105592500
2023-05-16,98288800
2023-05-17,125473600
2023-05-18,109520300
2023-05-19,136196700
2023-05-22,132001400
2023-05-23,156952100
2023-05-24,137605100
2023-05-25,96870700
2023-05-26,162061500
2023-05-30,128818700
2023-05-31,150711700
2023-06-01,148029900
2023-06-02,164398400
2023-06-05,151143100
2023-06-06,146911600
2023-06-07,185710800
2023-06-08,164489700
2023-06-09,200242400
2023-06-12,150337900
2023-06-13,162384300
2023-06-14,170575500
2023-06-15,160171200
2023-06-16,167915600
2023-06-20,165611200
2023-06-21,211797100
2023-06-22,166875900
2023-06-23,177460800
2023-06-26,179990600
2023-06-27,164968200
2023-06-28,159770800
2023-06-29,131283400
2023-06-30,112620800
2023-07-03,119685900
2023-07-05,131530900
2023-07-06,120332100
2023-07-07,113879200
2023-07-10,119425400
2023-07-11,91972400
2023-07-12,95672100
2023-07-13,112681500
2023-07-14,120062400
2023-07-17,131569600
2023-07-18,112120300
2023-07-19,142355400
2023-07-20,175158300
2023-07-21,161796100
2023-07-24,136508500
2023-07-25,112757300
2023-07-26,95856200
2023-07-27,103697300
2023-07-28,111446000
2023-07-31,84582200
2023-08-01,83166000
2023-08-02,101752900
2023-08-03,97569100
2023-08-04,99539900
2023-08-07,111097900
2023-08-08,96642200
2023-08-09,101596300
2023-08-10,109498600
2023-08-11,99038600
2023-08-14,98595300
2023-08-15,88197600
2023-08-16,112484500
2023-08-17,120718400
2023-08-18,136276600
2023-08-21,135702700
2023-08-22,130442800
2023-08-23,101077600
2023-08-24,99777400
2023-08-25,106612200
2023-08-28,107673700
2023-08-29,134047600
2023-08-30,121988400
2023-08-31,108861700
2023-09-01,132541600
2023-09-05,129469600
2023-09-06,116959800
2023-09-07,115312900
2023-09-08,118367700
2023-09-11,174667900
2023-09-12,135999900
2023-09-13,111673700
2023-09-14,107709800
2023-09-15,133692300
2023-09-18,101543300
2023-09-19,103704000
2023-09-20,122514600
2023-09-21,119951500
2023-09-22,127524100
2023-09-25,104636600
2023-09-26,101993600
2023-09-27,136597200
2023-09-28,117058900
2023-09-29,128522700
2023-10-02,123810400
2023-10-03,101985300
2023-10-04,129721600
2023-10-05,119159200
2023-10-06,118121800
2023-10-09,101377900
2023-10-10,122656000
2023-10-11,103706300
2023-10-12,111508100
2023-10-13,102073800
2023-10-16,88917200
2023-10-17,93562900
2023-10-18,125147800
2023-10-19,170772700
2023-10-20,138010100
2023-10-23,150683400
2023-10-24,118231100
2023-10-25,107065100
2023-10-26,115112600
2023-10-27,94881200
2023-10-30,136448200
2023-10-31,118068300
2023-11-01,121661700
2023-11-02,125987600
2023-11-03,119534800
2023-11-06,117335800
2023-11-07,116900100
2023-11-08,106584800
2023-11-09,142110500
2023-11-10,130994000
2023-11-13,140447600
2023-11-14,149771600
2023-11-15,150354000
2023-11-16,136816800
2023-11-17,142532800
2023-11-20,116320100
2023-11-21,122288000
2023-11-22,117950600
2023-11-24,65125200
2023-11-27,112031800
2023-11-28,148549900
2023-11-29,135401300
2023-11-30,132353200
2023-12-01,121331700
2023-12-04,104099800
2023-12-05,137971100
2023-12-06,126436200
2023-12-07,107142300
2023-12-08,103126800
2023-12-11,97913900
2023-12-12,95328300
2023-12-13,146286300
2023-12-14,160829200
2023-12-15,135932800
2023-12-18,116416500
2023-12-19,106737400
2023-12-20,125097000
2023-12-21,109594200
2023-12-22,93370100
2023-12-26,86892400
2023-12-27,106494400
2023-12-28,113619900
2023-12-29,100891600
2024-01-02,104654200
2024-01-03,121082600
2024-01-04,102629300
2024-01-05,92488900
2024-01-08,85166600
2024-01-09,96705700
2024-01-10,91628500
2024-01-11,105873600
2024-01-12,123043800
2024-01-16,115355000
2024-01-17,103164400
2024-01-18,108595400
2024-01-19,102260300
2024-01-22,117952500
2024-01-23,106605900
2024-01-24,123369900
2024-01-25,198076800
2024-01-26,107343200
2024-01-29,125013100
2024-01-30,109982300
2024-01-31,103221400
2024-02-01,91843300
2024-02-02,110612700
2024-02-05,134294400
2024-02-06,122676000
2024-02-07,111535200
2024-02-08,83034000
2024-02-09,84476300
2024-02-12,95498600
2024-02-13,86759500
2024-02-14,81203000
2024-02-15,120831800
2024-02-16,111346700
2024-02-20,104545800
2024-02-21,103500300
2024-02-22,92739500
2024-02-23,78841900
2024-02-26,111747100
2024-02-27,108645400
2024-02-28,99806200
2024-02-29,85907000
2024-03-01,82243100
2024-03-04,134334900
2024-03-05,119660800
2024-03-06,107920900
2024-03-07,102129000
2024-03-08,85544600
2024-03-11,85391500
2024-03-12,87391700
2024-03-13,106524500
2024-03-14,126325700
2024-03-15,97146800
2024-03-18,108214400
2024-03-19,77271400
2024-03-20,83846700
2024-03-21,73178000
2024-03-22,75580600
2024-03-25,74228600
2024-03-26,113186200
2024-03-27,81804000
2024-03-28,77654800
2024-04-01,81562100
2024-04-02,116650600
2024-04-03,82950100
2024-04-04,123162000
2024-04-05,143157600
2024-04-08,104423300
2024-04-09,102951700
2024-04-10,84532400
2024-04-11,94516000
2024-04-12,64722700
2024-04-15,100245300
2024-04-16,97000000
2024-04-17,82439700
2024-04-18,96098800
2024-04-19,87074500
2024-04-22,107097600
2024-04-23,124545100
2024-04-24,181178000
2024-04-25,126427500
2024-04-26,109815700
2024-04-29,243869700
2024-04-30,127031800
2024-05-01,92829700
2024-05-02,89148000
2024-05-03,75491500
2024-05-06,84390300
2024-05-07,75045900
2024-05-08,79969500
2024-05-09,65950300
2024-05-10,72627200
2024-05-13,67018900
2024-05-14,86407400
2024-05-15,79663000
2024-05-16,59812200
2024-05-17,77445800
2024-05-20,61727400
2024-05-21,115266500
2024-05-22,88313500
2024-05-23,71975500
2024-05-24,65584500
2024-05-28,59736600
2024-05-29,54782600
2024-05-30,77618400
2024-05-31,67314600
2024-06-03,68568900
2024-06-04,60056300
2024-06-05,57953800
2024-06-06,69887000
2024-06-07,56244900
2024-06-10,50774600
2024-06-11,64761900
2024-06-12,90389400
2024-06-13,118984100
2024-06-14,82038200
2024-06-17,109786100
